OSCEM,fromPRZ,optionalsPRZ,untisPRZ,crunchPRZ,typePRZ
,,,,,
instrument.microscope.class,,,,,String
instrument.microscope.model,,,,,String
instrument.microscope.manufacturer,,,,,String
instrument.imaging,Signal.signal_type,filter.mode,,,String
instrument.electron_source,,,,,String
instrument.illumination.mode,condenser.mode,,,,String
instrument.illumination.probe_mode,condenser.mode.probe_mode,,,,String
instrument.operating_mode,Acquisition_instrument.TEM.acquisition_mode,,,,String
instrument.acceleration_voltage,electron_gun.voltage,electron_gun.voltage_target,kV,0.001,Int
instrument.beam_convergence,,,,,Float
,,,,,
acquisition.date_time,scan_generator.start_time,camera.time,,,String
acquisition.target_defocus,,,,,Float
acquisition.screen_current,,,,,Float
acquisition.stem_magnification,scan_driver.magnification,,,,Int
acquisition.holder,,,,,String
acquisition.image_size.height,image_size.height,,,,Int
acquisition.image_size.width,image_size.width,,,,Int
acquisition.exposure_time,camera.exposure_time,,s,,Float
acquisition.frame_time,camera.simplon_parameters.frame_time,source.detector_config.frame_time,s,,Float
acquisition.pixel_size.height,camera.pixel_size,,nm,1.00E+09,Float
acquisition.pixel_size.width,camera.pixel_size,,nm,1.00E+09,Float
,,,,,
acquisition.detectors.camera.name,source.detector_config.description,,,,String
acquisition.detectors.camera.height,camera.binning[0],,,,Int
acquisition.detectors.camera.width,camera.binning[1],,,,Int
acquisition.detectors.analytical.name,filter.mode,,,,String
acquisition.detectors.analytical.dispersion,filter.dispersion,,eV,,Float
acquisition.detectors.HAADF.type,,,,,String
acquisition.detectors.HAADF.collection_angle.minimal,,,,,Float
acquisition.detectors.HAADF.collection_angle.maximal,,,,,Float
acquisition.detectors.BF.type,,,,,String
acquisition.detectors.BF.collection_angle.minimal,,,,,Float
acquisition.detectors.BF.collection_angle.maximal,,,,,Float
acquisition.detectors.DF2.type,,,,,String
acquisition.detectors.DF2.collection_angle.minimal,,,,,Float
acquisition.detectors.DF2.collection_angle.maximal,,,,,Float
acquisition.detectors.DF4.type,,,,,String
acquisition.detectors.DF4.collection_angle.minimal,,,,,Float
acquisition.detectors.DF4.collection_angle.maximal,,,,,Float
,,,,,
sample.general.sample_name,,,,,String
sample.general.sample_description,,,,,String
,,,,,
organizational.grants.project_id,,,,,
organizational.funder.funder_name,,,,,
organizational.grants.grant_name,,,,,
organizational.grants.country,,,,,
organizational.authors.first_name,,,,,
organizational.authors.name,,,,,
organizational.authors.email,,,,,
organizational.authors.work_phone,,,,,
organizational.authors.orcid,,,,,
organizational.authors.role,,,,,
organizational.authors.country,,,,,
organizational.authors.work_status,,,,,
organizational.authors.name_org,,,,,
organizational.authors.type_org,,,,,
organizational.funder.type_org,,,,,
organizational.funder.country,,,,,
